"<ID|readonly|
noverify>";"<English>";;

"radar";"<color=@linkTextHoverColorLight>Radar</color>
Radar Modes:
    <color=@badTextColor>RWS</color> - <color=@userlogColoredText>Range-While-Scan</color> Mode | Sorts targets on the scope by range.
    <color=@badTextColor>ACQ</color> - <color=@userlogColoredText>Target Acquisition</color> Mode
    <color=@badTextColor>STT</color> - <color=@userlogColoredText>Single-Target Track</color> Mode";;
"radar_irst";"<color=@linkTextHoverColorLight>Radar/IRST</color> - <color=@userlogColoredText>Radar w/ Infrared Search-and-Track Sensor</color>
Radar Modes:
    <color=@badTextColor>RWS</color> - <color=@userlogColoredText>Range-While-Scan</color> Mode | Sorts targets on the scope by range.
    <color=@badTextColor>ACQ</color> - <color=@userlogColoredText>Target Acquisition</color> Mode
    <color=@badTextColor>STT</color> - <color=@userlogColoredText>Single-Target Track</color> Mode
IRST Modes:
    <color=@badTextColor>SRC IR</color> - <color=@userlogColoredText>IR Search</color> Mode
    <color=@badTextColor>ACQ IR</color> - <color=@userlogColoredText>IR Target Acquisition</color> Mode
    <color=@badTextColor>STT IR</color> - <color=@userlogColoredText>IR Single-Target Track</color> Mode";;
"irst";"<color=@linkTextHoverColorLight>IRST</color> - <color=@userlogColoredText>Infrared Search & Track</color>
IRST Modes:
    <color=@badTextColor>SRC IR</color> - <color=@userlogColoredText>IR Search</color> Mode
    <color=@badTextColor>ACQ IR</color> - <color=@userlogColoredText>IR Target Acquisition</color> Mode
    <color=@badTextColor>STT IR</color> - <color=@userlogColoredText>IR Single-Target Track</color> Mode";;
"radar_tv";"<color=@linkTextHoverColorLight>Radar/TV</color> - <color=@userlogColoredText>Radar w/ Contrast Television Sensor (Tracking Unit)</color>";;
"radar_type";"Sensor Type";;
"search_radar";"<color=@linkTextHoverColorLight>Search Radar</color>
Radar Modes:
    <color=@badTextColor>RWS</color> - <color=@userlogColoredText>Range-While Scan</color> | Sorts targets on the scope by range.";;
"search_radar_irst";"<color=@linkTextHoverColorLight>Radar/IRST</color> - <color=@userlogColoredText>Search Radar w/ Infrared Search-and-Track Sensor</color>";;
"search_irst";"<color=@linkTextHoverColorLight>IRST</color> - <color=@userlogColoredText>Infrared Search-and-Track Sensor (Search Unit)</color>";;
"search_radar_tv";"<color=@linkTextHoverColorLight>Radar/TV</color> - <color=@userlogColoredText>Search Radar w/ Television Sensor</color>";;
